Orig_Zip,Dest_Zip,Orig_Lon,Orig_Lat,Dest_Lon,Dest_Lat,Transit
SW16 5UU,NW5 2EB,-0.13769,51.547738,-0.13769,51.547738,2851
NW11 0AH,SW16 4HW,-0.201572,51.407647999999995,-0.201572,51.407647999999995,5196
SE27 0TA,N16 7EJ,-0.11055699999999999,51.561609999999995,-0.11055699999999999,51.561609999999995,4759
SE27 0LZ,E2 0TB,-0.11439,51.527836,-0.11439,51.527836,4528
E9 6PP,SW2 1BD,-0.050913,51.458609,-0.050913,51.458609,2967
CR4 3RA,SW4 9EQ,-0.174675,51.455897,-0.174675,51.455897,1971
N4 1LU,E10 5RJ,-0.094976,51.559718,-0.094976,51.559718,2559
N16 6EJ,N11 2QU,-0.069422,51.607712,-0.069422,51.607712,2486
N5 1XG,E3 2BY,-0.106241,51.529121999999994,-0.106241,51.529121999999994,2281
NW11 0JJ,CR7 7ED,-0.20886,51.393553999999995,-0.20886,51.393553999999995,5054
E2 9JU,W10 6BF,-0.049102,51.523106,-0.049102,51.523106,3307
N7 6BP,W6 8NW,-0.119753,51.485324,-0.119753,51.485324,3304
SE15 3LF,SE24 0DX,-0.05961,51.456143,-0.05961,51.456143,1903
E14 8DW,W9 2BA,-0.039508999999999996,51.522828999999994,-0.039508999999999996,51.522828999999994,3152
NW5 3NE,E2 7AW,-0.14973,51.530888,-0.14973,51.530888,2666
SE22 8BU,E5 9LR,-0.080272,51.565144000000004,-0.080272,51.565144000000004,3582
E2 0EJ,E1 4AF,-0.056688999999999996,51.52252,-0.056688999999999996,51.52252,593
N4 1QX,SW17 8RS,-0.088724,51.434894,-0.088724,51.434894,3543
N8 9HS,SW11 2BA,-0.119282,51.465253999999995,-0.119282,51.465253999999995,3307
E17 5RU,SE20 7JF,-0.030654,51.415822,-0.030654,51.415822,4517
N17 8BT,SE15 5DE,-0.07181799999999999,51.470778,-0.07181799999999999,51.470778,3796
N18 1LR,SE16 5LJ,-0.078823,51.498742,-0.078823,51.498742,5125
N19 5QN,CR7 7RS,-0.13896,51.399029999999996,-0.13896,51.399029999999996,3224
E15 2BY,E1W 3RT,-0.005592,51.50591,-0.005592,51.50591,1497
W14 8BD,E17 7BP,-0.212153,51.585754,-0.212153,51.585754,2579
CR7 8PS,CR4 1HL,-0.093776,51.403117,-0.093776,51.403117,3426
SW12 8SX,NW1 5LG,-0.164212,51.522962,-0.164212,51.522962,2066
SW17 8HY,SW17 0QJ,-0.159578,51.428940999999995,-0.159578,51.428940999999995,928
SE25 6XL,SE11 4JJ,-0.083264,51.487071,-0.083264,51.487071,2755
W11 4JX,SE19 1AJ,-0.217804,51.424067,-0.217804,51.424067,2952
SW11 5XS,W2 5TG,-0.154649,51.520855,-0.154649,51.520855,4042
SW19 8SJ,W14 8SF,-0.187646,51.494135,-0.187646,51.494135,2690
E14 3WD,N16 7XB,-0.014786,51.552642999999996,-0.014786,51.552642999999996,3595
E1 1AB,SE8 3AS,-0.066722,51.489748,-0.066722,51.489748,1932
NW6 7LB,W14 0BL,-0.198909,51.500748,-0.198909,51.500748,2035
NW1 1UH,E10 6NA,-0.130248,51.562334,-0.130248,51.562334,2068
NW8 8RY,SE17 3PQ,-0.170079,51.48169,-0.170079,51.48169,2981
N6 5TL,N22 6LP,-0.140468,51.59462,-0.140468,51.59462,2542
W9 3DY,E15 2AS,-0.199515,51.551493,-0.199515,51.551493,2947
W12 7LZ,SW11 1XG,-0.23254299999999997,51.460343,-0.23254299999999997,51.460343,2635
W9 3BJ,SE15 6JJ,-0.20481100000000002,51.477439000000004,-0.20481100000000002,51.477439000000004,3025
