index,Postcode,Latitude,Longitude,Distance
10288,CR4 1SD,51.409852,-0.149039,0.0
10289,CR4 1SE,51.40566,-0.15523299999999998,0.0
10290,CR4 1SF,51.406286,-0.154402,0.0
10291,CR4 1SG,51.403804,-0.156113,0.0
10292,CR4 1SH,51.403865,-0.15542,0.0
10293,CR4 1SJ,51.404728000000006,-0.15542899999999998,0.0
10294,CR4 1SL,51.410009,-0.150988,0.0
10295,CR4 1SN,51.405103999999994,-0.15476600000000001,0.0
10296,CR4 1SP,51.405346,-0.15411,0.0
10297,CR4 1SQ,51.405484,-0.15375899999999998,0.0
10298,CR4 1SR,51.406042,-0.15204,0.0
10299,CR4 1SS,51.407081,-0.15125,0.0
10300,CR4 1ST,51.406995,-0.150348,0.0
10301,CR4 1SU,51.407540000000004,-0.150125,0.0
10302,CR4 1SW,51.408043,-0.148911,0.0
10303,CR4 1SX,51.407446,-0.149266,0.0
10304,CR4 1TL,51.412805,-0.146432,0.0
10305,CR4 1TN,51.412853999999996,-0.147796,0.0
10309,CR4 1XA,51.400478,-0.131821,0.0
10310,CR4 1XB,51.400957,-0.131959,0.0
10311,CR4 1XD,51.400985999999996,-0.130937,0.0
10312,CR4 1XE,51.401368,-0.130649,0.0
10313,CR4 1XF,51.401973,-0.129675,0.0
10314,CR4 1XG,51.401528000000006,-0.129406,0.0
10315,CR4 1XH,51.401294,-0.12884,0.0
10316,CR4 1XJ,51.400769,-0.128632,0.0
10317,CR4 1XL,51.400545,-0.12808,0.0
10318,CR4 1XN,51.400046,-0.127856,0.0
10319,CR4 1XP,51.399824,-0.127434,0.0
10320,CR4 1XQ,51.399235,-0.127199,0.0
10321,CR4 1XR,51.39911,-0.126658,0.0
10322,CR4 1XS,51.3986,-0.126276,0.0
10323,CR4 1XT,51.398059,-0.12671500000000002,0.0
10324,CR4 1XU,51.397125,-0.12681099999999998,0.0
10325,CR4 1XW,51.397203999999995,-0.1278,0.0
10326,CR4 1XX,51.397584,-0.127382,0.0
10327,CR4 1YG,51.404393,-0.15926600000000002,0.0
10328,CR4 1ZX,51.397973,-0.12922,0.0
10329,CR4 2AA,51.413306,-0.156521,0.0
10330,CR4 2AB,51.414336999999996,-0.155142,0.0
10331,CR4 2AD,51.411741,-0.15877,0.0
10332,CR4 2AE,51.415819,-0.153875,0.0
10333,CR4 2AF,51.416965000000005,-0.152434,0.0
10334,CR4 2AG,51.415613,-0.153394,0.0
10335,CR4 2AH,51.413109000000006,-0.15601199999999998,0.0
10336,CR4 2AJ,51.416946,-0.15178699999999998,0.0
10337,CR4 2AL,51.414517,-0.15746500000000002,0.0
10338,CR4 2AN,51.416658,-0.15980899999999998,0.0
10339,CR4 2AP,51.413517999999996,-0.153421,0.0
10340,CR4 2AQ,51.414168,-0.156415,0.0
10341,CR4 2AR,51.409982,-0.15955999999999998,0.0
10342,CR4 2AS,51.419216,-0.15949100000000002,0.0
10343,CR4 2AT,51.416142,-0.160146,0.0
10344,CR4 2AU,51.414131,-0.157524,0.0
10345,CR4 2AW,51.415351,-0.15904200000000002,0.0
10346,CR4 2AY,51.413729,-0.157698,0.0
10347,CR4 2AZ,51.414757,-0.15897999999999998,0.0
10348,CR4 2BA,51.418988,-0.157558,0.0
10349,CR4 2BB,51.41829,-0.15432200000000001,0.0
10350,CR4 2BD,51.417827,-0.157504,0.0
10351,CR4 2BE,51.418572,-0.156842,0.0
10352,CR4 2BF,51.417763,-0.153408,0.0
10353,CR4 2BG,51.418420000000005,-0.159753,0.0
10354,CR4 2BH,51.417865,-0.15704300000000002,0.0
10355,CR4 2BJ,51.418436,-0.160198,0.0
10356,CR4 2BL,51.417799,-0.15800899999999998,0.0
10357,CR4 2BN,51.418269,-0.158134,0.0
10358,CR4 2BP,51.417503,-0.158654,0.0
10359,CR4 2BQ,51.418409000000004,-0.158502,0.0
10360,CR4 2BR,51.417734,-0.159004,0.0
10361,CR4 2BS,51.419431,-0.15941,0.0
10362,CR4 2BT,51.418628000000005,-0.160999,0.0
10363,CR4 2BU,51.418112,-0.159032,0.0
10364,CR4 2BW,51.418182,-0.15948900000000002,0.0
10365,CR4 2BX,51.419571000000005,-0.16034,0.0
10366,CR4 2BY,51.419128,-0.160717,0.0
10367,CR4 2BZ,51.419403,-0.160476,0.0
10368,CR4 2DA,51.415165,-0.156317,0.0
10369,CR4 2DB,51.416064,-0.15859600000000001,0.0
10370,CR4 2DD,51.416271,-0.15807000000000002,0.0
10371,CR4 2DE,51.414864,-0.156617,0.0
10372,CR4 2DF,51.415631,-0.15851300000000001,0.0
10373,CR4 2DG,51.417613,-0.16049000000000002,0.0
10374,CR4 2DH,51.417039,-0.160024,0.0
10375,CR4 2DJ,51.4168,-0.158538,0.0
10376,CR4 2DL,51.415364000000004,-0.15582000000000001,0.0
10377,CR4 2DN,51.416739,-0.15576800000000002,0.0
10378,CR4 2DP,51.416977,-0.156086,0.0
10379,CR4 2DQ,51.4177,-0.152289,0.0
10380,CR4 2DR,51.417614,-0.15141500000000002,0.0
10381,CR4 2DS,51.416817,-0.156725,0.0
10382,CR4 2DT,51.417449,-0.15631199999999998,0.0
10383,CR4 2DU,51.416119,-0.155833,0.0
10384,CR4 2DW,51.416321,-0.15550799999999998,0.0
10385,CR4 2DX,51.415593,-0.155566,0.0
10386,CR4 2DY,51.416571000000005,-0.153672,0.0
10387,CR4 2DZ,51.416757000000004,-0.15407,0.0
10388,CR4 2EA,51.415082,-0.151675,0.0
10389,CR4 2EB,51.4145,-0.149542,0.0
10390,CR4 2ED,51.414947,-0.14879,0.0
10391,CR4 2EE,51.415310999999996,-0.151321,0.0
10392,CR4 2EF,51.414691,-0.14910299999999999,0.0
10393,CR4 2EG,51.415929,-0.15118399999999999,0.0
10394,CR4 2EH,51.415603999999995,-0.151079,0.0
10395,CR4 2EJ,51.415184,-0.148421,0.0
10396,CR4 2EL,51.416519,-0.150944,0.0
10397,CR4 2EN,51.41605,-0.149177,0.0
10398,CR4 2EP,51.415669,-0.147798,0.0
10399,CR4 2EQ,51.416278999999996,-0.151167,0.0
10400,CR4 2ER,51.41585,-0.14960199999999998,0.0
10401,CR4 2ES,51.415411,-0.147981,0.0
10402,CR4 2ET,51.417245,-0.149086,0.0
10403,CR4 2EU,51.416717999999996,-0.149308,0.0
10404,CR4 2EW,51.416106,-0.147003,0.0
10405,CR4 2EX,51.407328,-0.15717899999999999,0.0
10406,CR4 2EY,51.416552,-0.14966,0.0
10407,CR4 2EZ,51.415923,-0.14737,0.0
10408,CR4 2FB,51.407111,-0.161142,0.0
10409,CR4 2FE,51.419684000000004,-0.161227,0.0
10410,CR4 2GA,51.411325,-0.154056,0.0
10411,CR4 2GB,51.411069,-0.154382,0.0
10412,CR4 2GD,51.411590999999994,-0.153818,0.0
10413,CR4 2GE,51.410754,-0.154323,0.0
10414,CR4 2GF,51.410947,-0.15343800000000002,0.0
10415,CR4 2GG,51.410446,-0.153634,0.0
10416,CR4 2GH,51.410384,-0.161672,0.0
10417,CR4 2GL,51.411072,-0.15626900000000002,0.0
10418,CR4 2GN,51.410942,-0.156588,0.0
10419,CR4 2GP,51.409356,-0.158665,0.0
10420,CR4 2GR,51.411163,-0.156866,0.0
10421,CR4 2GS,51.411381,-0.15762,0.0
10422,CR4 2GX,51.410252,-0.160153,0.0
10423,CR4 2HA,51.4103,-0.159216,0.0
10424,CR4 2HB,51.410556,-0.158918,0.0
10425,CR4 2HD,51.410287,-0.154975,0.0
10426,CR4 2HE,51.410581,-0.15651600000000002,0.0
10427,CR4 2HF,51.410074,-0.156838,0.0
10428,CR4 2HG,51.410865,-0.158503,0.0
10429,CR4 2HH,51.411784000000004,-0.15749200000000002,0.0
10430,CR4 2HJ,51.410734999999995,-0.15768900000000002,0.0
10431,CR4 2HL,51.410963,-0.157306,0.0
10432,CR4 2HN,51.414435,-0.151644,0.0
10433,CR4 2HP,51.414625,-0.15119000000000002,0.0
10434,CR4 2HQ,51.414384000000005,-0.147893,0.0
10435,CR4 2HR,51.415801,-0.14593699999999998,0.0
10436,CR4 2HS,51.416056,-0.14615699999999998,0.0
10437,CR4 2HT,51.413661,-0.151074,0.0
10438,CR4 2HU,51.410832,-0.152408,0.0
10439,CR4 2HW,51.412784,-0.150186,0.0
10440,CR4 2HX,51.410616999999995,-0.15475999999999998,0.0
10441,CR4 2HY,51.411132,-0.152669,0.0
10442,CR4 2HZ,51.412766999999995,-0.150848,0.0
10443,CR4 2JA,51.410185999999996,-0.161697,0.0
10444,CR4 2JB,51.408173,-0.162943,0.0
10445,CR4 2JD,51.407067,-0.163516,0.0
10446,CR4 2JE,51.4077,-0.159134,0.0
10447,CR4 2JF,51.407514,-0.158753,0.0
10448,CR4 2JG,51.407666,-0.162097,0.0
10449,CR4 2JH,51.408417,-0.159522,0.0
10450,CR4 2JJ,51.406725,-0.161157,0.0
10451,CR4 2JL,51.408148,-0.162495,0.0
10452,CR4 2JN,51.409596,-0.16074000000000002,0.0
10453,CR4 2JP,51.409295,-0.16046400000000002,0.0
10454,CR4 2JQ,51.408223,-0.160392,0.0
10455,CR4 2JR,51.407189,-0.159833,0.0
10456,CR4 2JS,51.406382,-0.163431,0.0
10457,CR4 2JT,51.407353,-0.160528,0.0
10458,CR4 2JU,51.408812,-0.161807,0.0
10459,CR4 2JW,51.40815,-0.160884,0.0
10460,CR4 2JX,51.410138,-0.160937,0.0
10461,CR4 2JY,51.407918,-0.161584,0.0
10462,CR4 2JZ,51.407918,-0.161584,0.0
10463,CR4 2LA,51.405046999999996,-0.160247,0.0
10464,CR4 2LB,51.405435,-0.158089,0.0
10465,CR4 2LD,51.405051,-0.157673,0.0
10466,CR4 2LF,51.406659999999995,-0.160498,0.0
10467,CR4 2LG,51.405666,-0.159618,0.0
10468,CR4 2LH,51.405819,-0.160776,0.0
10469,CR4 2LJ,51.405885,-0.158646,0.0
10470,CR4 2LL,51.409114,-0.15472,0.0
10471,CR4 2LN,51.409434000000005,-0.155613,0.0
10472,CR4 2LP,51.409991999999995,-0.156209,0.0
10473,CR4 2LQ,51.409664,-0.155345,0.0
10474,CR4 2LR,51.408009,-0.157022,0.0
10475,CR4 2LS,51.408859,-0.1562,0.0
10476,CR4 2LT,51.408803999999996,-0.154416,0.0
10477,CR4 2LU,51.407408000000004,-0.15828299999999998,0.0
10478,CR4 2LW,51.405967,-0.15755,0.0
10479,CR4 2LX,51.409357,-0.156393,0.0
10480,CR4 2LY,51.407302,-0.157841,0.0
10481,CR4 2LZ,51.406168,-0.157211,0.0
10482,CR4 2NA,51.406890999999995,-0.156894,0.0
10483,CR4 2NB,51.407222,-0.156162,0.0
10484,CR4 2ND,51.407540999999995,-0.15533,0.0
10485,CR4 2NE,51.406459999999996,-0.15632200000000002,0.0
10486,CR4 2NG,51.406771,-0.15614,0.0
10487,CR4 2NH,51.406873,-0.15573299999999998,0.0
10488,CR4 2NJ,51.41125,-0.15500799999999998,0.0
10489,CR4 2NL,51.411387,-0.155721,0.0
10490,CR4 2NN,51.412048999999996,-0.15550799999999998,0.0
10491,CR4 2NP,51.412414,-0.15523399999999998,0.0
10492,CR4 2NQ,51.41175,-0.154801,0.0
10493,CR4 2NT,51.406543,-0.15700899999999998,0.0
