Destination,Origin,Transit_Times,Lat,Lon
NW2 6BU,N1 7QX,51.61666666666667,51.556471,-0.218452
SW16 5AR,N1 7QX,50.233333333333334,51.418794,-0.140178
N18 1NE,N1 7QX,57.63333333333333,51.618242,-0.084452
E5 0LS,EC2Y 8BU,50.86666666666667,51.554229,-0.044821
SE5 8SG,EC2Y 8BU,41.833333333333336,51.471702,-0.091734
EC1R 1UB,EC2Y 8BU,15.0,51.526451,-0.106847
W14 0BQ,EC2Y 8BU,29.533333333333335,51.501686,-0.218255
E5 0NF,EC2Y 8BU,54.53333333333333,51.552204,-0.046969
E1 8NB,EC2Y 8BU,21.216666666666665,51.509294,-0.071012
SE23 2AF,EC2Y 8BU,51.5,51.439529,-0.036383
SW11 3TL,EC2Y 8BU,55.05,51.475581,-0.172689
N22 7XN,EC2Y 8BU,47.46666666666667,51.600279,-0.132079
N7 8HW,EC1V 9EU,17.8,51.548435,-0.116175
SW15 2JX,EC1V 9EU,47.333333333333336,51.46520200000001,-0.212795
N2 8HN,EC1V 9EU,41.11666666666667,51.598202,-0.17438399999999998
EC1V 0EP,EC1V 9EU,14.666666666666666,51.526633,-0.103091
EC1V 8DD,EC1V 9EU,11.7,51.527986,-0.098883
W14 9JX,EC1V 9EU,42.05,51.488509,-0.207419
N11 1JQ,EC1V 9EU,48.55,51.627179,-0.14598599999999998
SE16 7UF,EC1V 9EU,35.166666666666664,51.494784,-0.035018
SW19 8PB,EC1V 9EU,48.96666666666667,51.423803,-0.191886
N8 7LN,EC1V 9EU,36.7,51.591251,-0.12425
N6 5DW,EC1V 9EU,40.5,51.575687,-0.13111099999999998
SW2 3BJ,EC1Y 0RA,48.43333333333333,51.437734000000006,-0.118819
NW8 9RS,EC1Y 0RA,35.03333333333333,51.528191,-0.176984
N4 1NU,EC1Y 0RA,46.666666666666664,51.57847,-0.088983
E10 7NB,EC1Y 0RA,55.4,51.56655,-0.027093
E1 2PN,EC1Y 0RA,24.533333333333335,51.512478,-0.056252
NW2 2RS,EC1Y 0RA,46.43333333333333,51.555977,-0.209614
N7 9FB,EC2Y 8BD,28.516666666666666,51.548104,-0.123025
NW6 1PJ,EC2Y 8BD,33.18333333333333,51.549398,-0.193459
SW12 9LH,EC2Y 8BD,33.0,51.450094,-0.145023
